referent_id,query,title,local_path,download_url,source_url,description_url,mime,license,artist,credit
domestic_chicken,Gallus gallus,File:Gallus gallus domesticus - Vogelpark Steinen 03.jpg,data/external/iconic_referents/rapa_nui_1500/domestic_chicken/Gallus_gallus_domesticus_-_Vogelpark_Steinen_03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Gallus_gallus_domesticus_-_Vogelpark_Steinen_03.jpg/960px-Gallus_gallus_domesticus_-_Vogelpark_Steinen_03.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Gallus_gallus_domesticus_-_Vogelpark_Steinen_03.jpg,https://commons.wikimedia.org/wiki/File:Gallus_gallus_domesticus_-_Vogelpark_Steinen_03.jpg,image/jpeg,CC BY-SA 3.0,H. Zell,Own work
fairy_tern,Gygis alba,File:White tern (Gygis alba candida) in flight Rarotonga 2.jpg,data/external/iconic_referents/rapa_nui_1500/fairy_tern/White_tern_Gygis_alba_candida_in_flight_Rarotonga_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/White_tern_%28Gygis_alba_candida%29_in_flight_Rarotonga_2.jpg/960px-White_tern_%28Gygis_alba_candida%29_in_flight_Rarotonga_2.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/White_tern_%28Gygis_alba_candida%29_in_flight_Rarotonga_2.jpg,https://commons.wikimedia.org/wiki/File:White_tern_(Gygis_alba_candida)_in_flight_Rarotonga_2.jpg,image/jpeg,CC BY-SA 4.0,Charles J. Sharp,"Own work, from Sharp Photography, sharpphotography.co.uk"
foot,foot,File:Macaca sylvanus feet and hands.JPG,data/external/iconic_referents/rapa_nui_1500/foot/Macaca_sylvanus_feet_and_hands.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Macaca_sylvanus_feet_and_hands.JPG/960px-Macaca_sylvanus_feet_and_hands.JPG,https://upload.wikimedia.org/wikipedia/commons/7/79/Macaca_sylvanus_feet_and_hands.JPG,https://commons.wikimedia.org/wiki/File:Macaca_sylvanus_feet_and_hands.JPG,image/jpeg,CC BY-SA 3.0,Grez,Own work
great_frigatebird,Fregata minor,File:Male greater frigate bird displaying.jpg,data/external/iconic_referents/rapa_nui_1500/great_frigatebird/Male_greater_frigate_bird_displaying.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Male_greater_frigate_bird_displaying.jpg/960px-Male_greater_frigate_bird_displaying.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Male_greater_frigate_bird_displaying.jpg,https://commons.wikimedia.org/wiki/File:Male_greater_frigate_bird_displaying.jpg,image/jpeg,CC BY-SA 3.0,Charles J. Sharp,Own work
green_sea_turtle,Chelonia mydas,File:Total internal reflection of Chelonia mydas.jpg,data/external/iconic_referents/rapa_nui_1500/green_sea_turtle/Total_internal_reflection_of_Chelonia_mydas.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Total_internal_reflection_of_Chelonia_mydas.jpg/960px-Total_internal_reflection_of_Chelonia_mydas.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Total_internal_reflection_of_Chelonia_mydas.jpg,https://commons.wikimedia.org/wiki/File:Total_internal_reflection_of_Chelonia_mydas.jpg,image/jpeg,CC BY-SA 4.0,"
Brocken Inaglory",Own work
hand,hand,File:Hand and power stone bracelets.jpg,data/external/iconic_referents/rapa_nui_1500/hand/Hand_and_power_stone_bracelets.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Hand_and_power_stone_bracelets.jpg/960px-Hand_and_power_stone_bracelets.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Hand_and_power_stone_bracelets.jpg,https://commons.wikimedia.org/wiki/File:Hand_and_power_stone_bracelets.jpg,image/jpeg,CC BY-SA 4.0,Tomascastelazo,Own work
head,head,File:Bald Eagle Head sq.jpg,data/external/iconic_referents/rapa_nui_1500/head/Bald_Eagle_Head_sq.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Bald_Eagle_Head_sq.jpg/960px-Bald_Eagle_Head_sq.jpg,https://upload.wikimedia.org/wikipedia/commons/6/67/Bald_Eagle_Head_sq.jpg,https://commons.wikimedia.org/wiki/File:Bald_Eagle_Head_sq.jpg,image/jpeg,CC BY-SA 3.0,Martin Falbisoner,Own work
moai,moai,File:Moai Rano raraku.jpg,data/external/iconic_referents/rapa_nui_1500/moai/Moai_Rano_raraku.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Moai_Rano_raraku.jpg/960px-Moai_Rano_raraku.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/Moai_Rano_raraku.jpg,https://commons.wikimedia.org/wiki/File:Moai_Rano_raraku.jpg,image/jpeg,Public domain,Aurbina,Own work
moon,moon,File:FullMoon2010.jpg,data/external/iconic_referents/rapa_nui_1500/moon/FullMoon2010.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/FullMoon2010.jpg/960px-FullMoon2010.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/FullMoon2010.jpg,https://commons.wikimedia.org/wiki/File:FullMoon2010.jpg,image/jpeg,CC BY-SA 3.0,Gregory H. Revera,Own work
moray_eel,moray eel,"File:Green Moray Eel (Gymnothorax funebris), Cozumel.jpg",data/external/iconic_referents/rapa_nui_1500/moray_eel/Green_Moray_Eel_Gymnothorax_funebris_Cozumel.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Green_Moray_Eel_%28Gymnothorax_funebris%29%2C_Cozumel.jpg/960px-Green_Moray_Eel_%28Gymnothorax_funebris%29%2C_Cozumel.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Green_Moray_Eel_%28Gymnothorax_funebris%29%2C_Cozumel.jpg,"https://commons.wikimedia.org/wiki/File:Green_Moray_Eel_(Gymnothorax_funebris),_Cozumel.jpg",image/jpeg,CC BY-SA 3.0,P.Lindgren,Own work
