referent_id,n_images,dispersion,image_paths
domestic_chicken,1,0.0,data/external/iconic_referents/rapa_nui_1500/domestic_chicken/Gallus_gallus_domesticus_-_Vogelpark_Steinen_03.jpg.jpg
fairy_tern,1,0.0,data/external/iconic_referents/rapa_nui_1500/fairy_tern/White_tern_Gygis_alba_candida_in_flight_Rarotonga_2.jpg
foot,1,1.4901161193847656e-08,data/external/iconic_referents/rapa_nui_1500/foot/Macaca_sylvanus_feet_and_hands.jpg
great_frigatebird,2,0.30672580001910166,data/external/iconic_referents/rapa_nui_1500/great_frigatebird/Fregata_minor_MHNT.ZOO.2010.11.2.17.jpg.jpg|data/external/iconic_referents/rapa_nui_1500/great_frigatebird/Male_greater_frigate_bird_displaying.jpg.jpg
green_sea_turtle,1,0.0,data/external/iconic_referents/rapa_nui_1500/green_sea_turtle/Total_internal_reflection_of_Chelonia_mydas.jpg
hand,1,0.0,data/external/iconic_referents/rapa_nui_1500/hand/Hand_and_power_stone_bracelets.jpg
head,1,0.0,data/external/iconic_referents/rapa_nui_1500/head/Bald_Eagle_Head_sq.jpg
moai,1,0.0,data/external/iconic_referents/rapa_nui_1500/moai/Moai_Rano_raraku.jpg.jpg
moon,1,0.0,data/external/iconic_referents/rapa_nui_1500/moon/FullMoon2010.jpg
moray_eel,1,0.0,data/external/iconic_referents/rapa_nui_1500/moray_eel/Green_Moray_Eel_Gymnothorax_funebris_Cozumel.jpg
octopus,1,0.0,data/external/iconic_referents/rapa_nui_1500/octopus/ehulkov_et_al_-_Dactylogyrus_-_parasite200098-fig04.png
red_tailed_tropicbird,1,0.0,data/external/iconic_referents/rapa_nui_1500/red_tailed_tropicbird/Red-tailed_tropicbird_Phaethon_rubricauda_rubricauda_nesting.jpg
reimiro,1,0.0,data/external/iconic_referents/rapa_nui_1500/reimiro/122_Museu_de_Cultures_del_M_n_Barcelona_reimiro_pectoral_de_l_illa_de_Pasqua.jpg
sun,1,0.0,data/external/iconic_referents/rapa_nui_1500/sun/The_sun_and_the_moon_in_South_New_Brighton_s_beach_New_Zealand.jpg
tiger_shark,1,0.0,data/external/iconic_referents/rapa_nui_1500/tiger_shark/Tiger_shark.jpg.jpg
toki,1,0.0,data/external/iconic_referents/rapa_nui_1500/toki/Fighting_Adze_Toki_Greenstone_blade_and_carved_handle_Wellcome_M0016042.jpg
yellowfin_tuna,1,0.0,data/external/iconic_referents/rapa_nui_1500/yellowfin_tuna/Yellowfin_tuna_nurp.jpg.jpg
