glyph_code,group_by,n_instances_total,n_instances_used,dispersion,raw_codes,example_glyph_ids
001,base_code,309,8,0.46367930657532197,001|001!|001?|001V|001a|001bf|001c|001f|001h|001t|001t?,Aa01-057|Ab02-001|Ab08-047|Bv08-042|Ca14-023
002,base_code,231,8,0.32747329927793634,002|002?|002V|002V?|002Va|002Vc|002a|002b|002d|002e,Aa01-070|Aa08-106|Ab06-107|Bv02-019|Ca06-006
004,base_code,200,8,0.37182567531056787,004|004?|004a|004t|004x!|004y,Aa01-013|Aa06-002|Ab03-105|Br01-005|Bv09-015
003,base_code,177,8,0.5880894841949821,003|003?|003a|003a!|003ax,Aa01-048|Ab03-023|Ab04-110|Br04-035|Bv07-051
022,base_code,149,8,0.2689884294679812,022|022!|022?|022bf|022bfty|022bfy|022cfy|022df|022f|022f?,Aa01-021|Aa07-093|Ab07-011|Bv02-018|Ca03-009
006,base_code,133,8,0.49471631280120654,006|006V|006a|006b|006x|006xy|006y,Aa01-039|Ab05-088|Br08-048|Bv08-045|Ca10-024
005,base_code,120,8,0.5770546025499849,005|005!|005f|005i|005j|005jt|005t,Aa01-036|Aa07-046|Aa08-103|Ab04-040|Br08-010
600,base_code,104,8,0.42450866115068003,600|600?|600V|600af|600f|600s,Aa02-102|Aa04-114|Ab02-033|Ab05-107|Br02-024
009,base_code,98,8,0.5661910972845301,009|009a|009fi|009h|009j|009kh|009x?,Aa01-004|Aa07-066|Ab01-029|Ab05-004|Ab08-048
040,base_code,93,8,0.2320729984433554,040|040?|040a|040b|040h,Aa01-002|Ab07-025|Ca06-033|Ca07-045|Ca09-002
010,base_code,83,8,0.5211848848947203,010|010?|010f|010t|010y,Aa04-053|Ab04-038|Br08-044|Bv11-049|Ca11-016
008,base_code,81,8,0.46147397452191924,008|008!|008a|008b|008cx|008h,Aa01-032|Aa08-044|Ab08-006|Br07-018|Bv08-034
200,base_code,80,8,0.46920857711363634,200|200?|200f|200i,Aa01-074|Aa06-085|Br08-018|Bv06-029|Ca04-005
700,base_code,80,8,0.3165024095640396,700|700?|700a|700bx|700c|700d|700f|700x,Aa03-019|Ab02-097|Br09-013|Bv10-036|Cb04-011
000,base_code,77,8,0.583032669090713,000!,Aa01-115|Bv02-013|Cb03-001|Cb12-036|Da06-012
063,base_code,77,8,0.4664548569227515,063|063?|063a|063h|063x|063y,Aa01-083|Br05-013|Br06-029|Bv05-051|Db03-019
007,base_code,75,8,0.3000523821148692,007|007a|007y,Aa01-069|Aa04-083|Ab01-090|Ab07-055|Bv11-024
380,base_code,72,8,0.40826988873049275,380|380?|380y|380y?,Aa08-077|Ca03-007|Cb03-011|Da05-012|Er08-013
300,base_code,67,8,0.4292087156688606,300|300!|300y|300y?,Aa01-081|Ab01-017|Br02-050|Bv03-041|Er01-017
430,base_code,63,8,0.56343390680537,430|430!|430?|430a|430b|430y,Aa01-001|Ab03-099|Br02-012|Bv02-014|Cb03-016
074,base_code,59,8,0.5066946357909811,074|074?|074a|074af|074f|074fhx|074fx|074fy|074hx|074hy|074x|074xy,Aa01-055|Aa06-017|Ab02-117|Ab06-035|Br06-055
670,base_code,58,8,0.4468346495537703,670|670a|670b|670c|670y,Aa01-106|Ab03-042|Bv04-058|Ca07-027|Cb01-034
065,base_code,56,8,0.4006396517549202,065|065V|065f,Aa01-047|Aa01-062|Br05-016|Bv05-021|Bv06-023
095,base_code,52,8,0.6288103918629829,095|095?|095aj|095b|095bjt|095c|095f|095j|095x,Aa01-052|Ab05-034|Br06-005|Bv03-035|Bv08-035
050,base_code,51,8,0.21232466065165714,050|050V|050f|050t,Aa02-013|Ab03-011|Ab06-128|Br01-034|Bv10-055
020,base_code,43,8,0.4017484671413243,020|020V|020Vf|020b|020bfy|020by|020cfy|020efhy|020efy|020ehy|020ey|020f,Aa03-092|Aa07-037|Aa07-101|Ab01-006|Br03-026
060,base_code,43,8,0.3345924962110456,060|060a|060at,Aa01-018|Aa08-118|Ab04-102|Br08-028|Bv08-060
041,base_code,42,8,0.3920193176430465,041|041a|041b?|041h,Aa02-058|Br09-012|Ca06-026|Ca07-024|Ca08-007
053,base_code,41,8,0.3116432440857783,053|053?|053a|053ay|053y,Aa03-057|Aa08-026|Ab06-031|Br04-048|Bv08-062
070,base_code,41,8,0.29754290245341214,070|070a|070b|070t,Aa01-073|Aa08-006|Ab06-084|Ca02-008|Ca10-010
052,base_code,40,8,0.4408779032848162,052|052?|052a|052ay|052x,Aa01-095|Ab04-048|Ab05-042|Bv06-013|Ca03-013
064,base_code,40,8,0.29965071692896983,064|064?|064a|064h,Aa01-043|Aa06-065|Br02-034|Br07-035|Bv08-070
_,base_code,40,8,0.6372609244420993,_,Ab02-089|Ca07-011|Da01-001|Da02-017|Da06-001
025,base_code,38,8,0.4801617028928075,025|025V|025a|025at|025ay|025b,Aa01-089|Aa05-083|Aa07-043|Aa07-094|Aa08-009
044,base_code,38,8,0.331036393397246,044|044?|044afx|044ax|044b|044f|044t,Aa01-098|Aa08-105|Ab03-098|Br09-015|Bv07-023
048,base_code,34,8,0.4486789489187277,048|048?|048a|048f,Aa02-044|Aa07-002|Ab03-095|Ab06-043|Ab08-102
091,base_code,34,8,0.34257479554991344,091|091j|091t,Aa05-060|Ab01-081|Ab06-029|Br04-010|Br09-044
400,base_code,34,8,0.4626596648271639,400|400!|400?|400V|400o|400s|400y,Aa03-068|Ab06-051|Br05-012|Bv09-065|Ca10-025
066,base_code,33,8,0.38728128607521034,066|066?|066V|066a|066ax|066fx,Aa01-087|Br05-020|Br09-003|Br09-028|Bv03-016
280,base_code,33,8,0.33546556626787716,280|280?|280a|280a?|280c|280d|280j,Aa02-082|Aa08-094|Ab01-062|Ab06-113|Bv02-035
522,base_code,31,8,0.46166635000015,522|522Vfy|522afy|522f|522f?|522fy|522fy!|522y,Aa02-098|Aa08-061|Bv02-047|Ca03-025|Cb12-035
711,base_code,31,8,0.39857494505208835,711|711?|711y,Aa01-107|Aa07-085|Ab01-094|Bv08-025|Ca07-017
739,base_code,31,8,0.39312021457768526,739|739a|739ay|739b,Aa01-080|Ab03-063|Ab05-087|Br06-003|Bv04-057
073,base_code,30,8,0.4320785112930632,073|073?|073Va|073Vf|073f|073f!|073f?,Aa02-017|Aa04-079|Bv11-061|Ca02-017|Ca05-008
059,base_code,29,8,0.44142774392124284,059af|059f|059f?|059fh,Aa04-019|Br02-005|Br02-023|Bv04-013|Bv10-027
067,base_code,29,8,0.42474863630978377,067|067?|067a,Aa01-016|Ab04-025|Bv02-001|Ca02-033|Ca12-029
755,base_code,29,8,0.48457192361464696,755|755?|755a,Aa03-072|Ab01-096|Ab08-090|Br06-016|Bv03-002
011,base_code,28,8,0.07903411122789486,011|011t,Aa02-047|Aa02-075|Aa05-046|Aa08-013|Ab03-061
061,base_code,28,8,0.4487283912101877,061|061?|061ay|061b|061c|061sy|061x|061y,Aa01-023|Aa04-054|Ab08-037|Br06-028|Ca02-026
062,base_code,28,8,0.44625279536946905,062|062?|062a|062f|062fx|062x|062y,Aa04-107|Ab06-028|Br05-026|Bv10-031|Cb03-027
306,base_code,28,8,0.35672609821621304,306|306s|306s!|306y,Aa02-081|Aa05-067|Ab01-093|Ab03-073|Ab06-038
450,base_code,28,8,0.40133226445877773,450|450?|450b|450y,Aa01-061|Ab04-077|Ab06-067|Ab08-075|Br04-031
741,base_code,27,8,0.32007064134064833,741|741f,Aa01-109|Ab01-064|Ab01-098|Ab03-031|Ab06-020
290,base_code,26,8,0.4642853000079842,290,Aa01-101|Ab01-091|Ab06-117|Bv12-003|Ca10-036
027,base_code,25,8,0.4163271014668686,027|027f|027fx|027x|027x?,Aa01-091|Ab05-027|Br09-035|Bv05-017|Bv09-023
042,base_code,25,8,0.4533318154823269,042,Aa04-018|Ab06-017|Br07-029|Br08-049|Bv06-022
077,base_code,25,8,0.4912640236958565,077|077a|077ay,Aa02-096|Aa04-051|Br06-054|Bv02-027|Bv05-014
254,base_code,25,8,0.37032543465968176,254|254?|254a|254a!|254aj|254b|254c|254di|254k,Aa04-010|Aa04-080|Aa07-023|Aa08-075|Ab08-084
381,base_code,24,8,0.31704400131579474,381|381f|381fy,Ab04-020|Br03-040|Br09-043|Bv04-023|Bv09-056
760,base_code,23,8,0.356153011967546,760,Br08-023|Ca04-016|Ca10-022|Ca11-018|Cb06-013
079,base_code,22,8,0.41543974813065265,079|079a,Aa05-008|Ab04-034|Ab07-073|Bv03-042|Bv11-043
208,base_code,22,8,0.3998922737890119,208|208f,Aa03-050|Aa04-097|Ab05-008|Br01-047|Br08-022
607,base_code,22,8,0.4514049033285559,607|607o,Aa02-108|Ab01-057|Ab01-103|Br08-058|Bv09-046
069,base_code,21,8,0.38839586603076615,069|069a,Aa03-095|Aa06-051|Br01-056|Bv01-038|Bv03-033
071,base_code,21,8,0.4466097688718754,071|071aty|071b!|071c|071tx,Aa02-016|Ab01-058|Br04-034|Bv10-024|Cb10-019
385,base_code,21,8,0.4644422133703473,385|385?|385y,Aa03-081|Bv05-032|Bv07-003|Bv07-042|Bv07-059
745,base_code,20,8,0.3528317380638016,745|745a,Aa04-036|Aa05-003|Aa05-056|Ab07-093|Br03-055
076,base_code,19,8,0.6131035970623437,076|076?|076y,Aa02-021|Aa06-021|Ab04-019|Br10-024|Bv02-012
093,base_code,19,8,0.3399136494621787,093|093f|093i|093j,Aa01-072|Aa02-089|Aa08-089|Ab03-013|Ab03-022
605,base_code,19,8,0.4050812777628795,605|605s,Aa03-075|Aa03-080|Ab02-095|Ab03-045|Ab05-014
631,base_code,19,8,0.405782447424374,631|631!|631a|631b|631c,Aa03-023|Aa06-028|Aa08-115|Ab04-004|Ab05-083
205,base_code,18,8,0.45570974209466303,205|205a|205s|205s?,Aa08-007|Br02-037|Bv08-005|Cb01-027|Da02-009
730,base_code,18,8,0.48240672129347506,730,Aa08-018|Br05-022|Bv03-032|Ca04-037|Cb02-014
034,base_code,17,8,0.45883854343792096,034|034V|034V?|034c,Aa01-017|Br09-047|Bv06-037|Ca01-030|Ca09-008
047,base_code,17,8,0.44313434699404386,047,Aa02-022|Bv02-055|Ca10-015|Ca11-010|Ca12-005
660,base_code,17,8,0.4559122188213598,660|660o|660y,Aa02-106|Aa04-069|Ab01-085|Ab02-101|Ab07-004
017,base_code,16,8,0.3356058685166333,017|017a|017t,Aa06-023|Ab04-058|Br02-025|Bv07-035|Ca09-009
092,base_code,16,8,0.2623767563565864,092|092?|092f,Br07-014|Bv06-048|Er07-008|Er07-016|Ev07-025
326,base_code,16,8,0.29962909613609556,326|326!,Aa06-058|Ab04-107|Ab06-010|Bv02-056|Bv07-010
080,base_code,15,8,0.23986022843804822,080|080a|080bx,Aa03-093|Aa04-067|Aa07-027|Aa07-055|Aa07-088
